Path,Size
/pub2/ndp026b/JUL88O.DAT.Z,1907262
/pub2/ndp026b/JUL89L.DAT.Z,17305525
/pub2/ndp026b/JUL89O.DAT.Z,1623305
/pub2/ndp026b/JUL90L.DAT.Z,17531779
/pub2/ndp026b/JUL90O.DAT.Z,1572481
/pub2/ndp026b/JUL91L.DAT.Z,16900941
/pub2/ndp026b/JUL91O.DAT.Z,1541043
/pub2/ndp026b/JUN82L.DAT.Z,15992766
/pub2/ndp026b/JUN82O.DAT.Z,1926947
/pub2/ndp026b/JUN83L.DAT.Z,16452221
/pub2/ndp026b/JUN83O.DAT.Z,1920508
/pub2/ndp026b/JUN84L.DAT.Z,16732557
/pub2/ndp026b/JUN84O.DAT.Z,2084063
/pub2/ndp026b/JUN85L.DAT.Z,16709277
/pub2/ndp026b/JUN85O.DAT.Z,1738131
/pub2/ndp026b/JUN86L.DAT.Z,16639337
/pub2/ndp026b/JUN86O.DAT.Z,1774366
/pub2/ndp026b/JUN87L.DAT.Z,16624697
/pub2/ndp026b/JUN87O.DAT.Z,1839863
/pub2/ndp026b/JUN88L.DAT.Z,17317067
/pub2/ndp026b/JUN88O.DAT.Z,1926685
/pub2/ndp026b/JUN89L.DAT.Z,16698767
/pub2/ndp026b/JUN89O.DAT.Z,1585419
/pub2/ndp026b/JUN90L.DAT.Z,17279695
/pub2/ndp026b/JUN90O.DAT.Z,1598581
/pub2/ndp026b/JUN91L.DAT.Z,16175327
/pub2/ndp026b/JUN91O.DAT.Z,1490277
/pub2/ndp026b/MAR82L.DAT.Z,15812541
/pub2/ndp026b/MAR82O.DAT.Z,1959863
/pub2/ndp026b/MAR83L.DAT.Z,16561463
/pub2/ndp026b/MAR83O.DAT.Z,1881171
/pub2/ndp026b/MAR84L.DAT.Z,17290971
/pub2/ndp026b/MAR84O.DAT.Z,2089121
/pub2/ndp026b/MAR85L.DAT.Z,17370838
/pub2/ndp026b/MAR85O.DAT.Z,1697565
/pub2/ndp026b/MAR86L.DAT.Z,17629743
/pub2/ndp026b/MAR86O.DAT.Z,1936393
/pub2/ndp026b/MAR87L.DAT.Z,17376360
/pub2/ndp026b/MAR87O.DAT.Z,1775672
/pub2/ndp026b/MAR88L.DAT.Z,17699303
/pub2/ndp026b/MAR88O.DAT.Z,2063771
/pub2/ndp026b/MAR89L.DAT.Z,17595475
/pub2/ndp026b/MAR89O.DAT.Z,1663757
/pub2/ndp026b/MAR90L.DAT.Z,17579073
/pub2/ndp026b/MAR90O.DAT.Z,1649009
/pub2/ndp026b/MAR91L.DAT.Z,16984661
/pub2/ndp026b/MAR91O.DAT.Z,1667177
/pub2/ndp026b/MAY82L.DAT.Z,16265683
/pub2/ndp026b/MAY82O.DAT.Z,1986273
/pub2/ndp026b/MAY83L.DAT.Z,17109309
/pub2/ndp026b/MAY83O.DAT.Z,1922899
