biscayne.309,1783
227132.csv,2472912
prc.dat,18370
25399.txt,871108
401790.csv,2379468
30879.txt,2516546
fin.dat,24675
142401.csv,2790087
state14_KS.txt.gz,5333934
342678.csv,2655468
206300.csv,2513828
tr051.des,5246
groisman.797,983
108137.csv,2916838
353847.csv,2285320
w_f.dat,2979
vostok.593,35970
313017.csv,2705742
256570.csv,2920292
olympic.321,1347
precip.grd.Z,1481259
338552.csv,2333299
232809.csv,2502720
035186.csv,2471097
trop.txt,8420
31168.txt,1548660
ita.dat,24696
SIO_Mauna_Loa_13CO2.txt,3577
spied.731,5011
karl.852,9441
24967.txt,1335706
24125.txt,1451882
34476.txt,1877737
20891.txt,1606748
248930.csv,1012704
35011.txt,1025974
state36_PA.txt.gz,3830867
nau.dat,8657
oceans35.327,1456
30612.txt,1451882
EthCH498B.txt,22820
karl.834,9441
25248.txt,1297069
28666.txt,1451882
480140.csv,2409336
testout.pdf,4541
308906.csv,1065082
npacific.691,5011
417945.csv,1900746
31532.txt,1451882
199316.csv,1277646
324418.csv,3413496
25138.txt,1451882
257515.csv,2430450
116579.csv,2794500
26702.txt,1238928
386209.csv,2197790
380074.csv,2145549
31915.txt,2110036
046508.csv,1923168
140264.csv,2453157
state18_MD.txt.gz,2030017
30028.txt,1297016
28748.txt,1451882
267369.csv,2157004
25956.txt,1450981
420086.csv,2203630
26898.txt,1451882
446139.csv,1801877
zugspitz.155,2138
samsio.co2,3956
113335.csv,2807300
gui.dat,9582
civalley.697,5011
212698.csv,2627030
344766.csv,2093176
norlowsou.txt,6013
sgeorgia.339,1020
223975.csv,2214590
groisman.773,1691
32149.txt,1084062
ben.dat,9581
29231.txt,1451882
026250.csv,2818600
351897.csv,2699001
26258.txt,1451882
comphalogens.xls,855552
387631.csv,2155804
28722.txt,2148779
mau.dat,9432
shem.670,8492
samoa.099,2459
144588.csv,2327605
417336.csv,2708738
taj.dat,4350
SIO_La_Jolla_13CO2.txt,3729
bhr.dat,13433
323287.csv,2616691
023160.csv,2571975
Jubany_2009_Daily.txt,99699
29594.txt,1664783
303773.csv,2207379
23986.txt,1355051
475808.csv,2949414
205434.csv,955995
221880.csv,818300
state33_OH.txt.gz,5060494
global.618,9827
391972.csv,2843008
32099.txt,1199814
243110.csv,1480864
Preliminary_CO2_emissions_2012.xlsx,25999
044890.csv,1868976
024645.csv,681480
31371.txt,2129381
357169.csv,2394688
31845.txt,1393794
all_altmm.dat,2446
27612.txt,1219583
351946.csv,2561520
046399.csv,1682934
231364.csv,2776356
mawson_mm.dat,3142
global.650,8493
350304.csv,2573586
099291.csv,2197152
027281.csv,2952950
054770.csv,2688576
234904.csv,2723570
blr.dat,4347
482595.csv,1978875
oceans20.326,1456
045385.csv,1707408
30823.txt,2419768
lampedus.359,457
305426.csv,2440317
204244.csv,2463608
cam.dat,10046
30954.txt,1374449
eastern.723,5011
station_file_format.txt,2971
210252.csv,1467644
413183.csv,2626680
225247.csv,2319264
137979.csv,3182880
mdn.dat,4349
22892.txt,1606271
